no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
1,1,0,201,laos-1,0.0442227192548612,1,0.850830078125,1073741824,330645250,7700623912,0,0,0,12500000,0.8950527973798612,1,1750576555,2025-06-22 14:15:55
2,1,0,202,laos-2,0.0442227192548612,1,0.862579345703125,1073741824,309762011,7644284787,0,0,0,12500000,0.9068020649579862,3,1750576555,2025-06-22 14:15:55
3,1,0,203,laos-3,0.0422999923307368,1,0.86700439453125,1073741824,311185408,7619218947,0,0,0,12500000,0.9093043868619868,4,1750576555,2025-06-22 14:15:55
4,1,0,204,laos-4,0.0461454461789856,1,0.852874755859375,1073741824,310015963,7636008383,0,0,0,12500000,0.8990202020383606,2,1750576555,2025-06-22 14:15:55
5,2,0,201,laos-1,0.0442227192548612,1,0.850830078125,1073741824,330645250,7700623912,0,0,0,12500000,0.8950527973798612,1,1750576557,2025-06-22 14:15:57
6,2,0,202,laos-2,0.0442227192548612,1,0.862579345703125,1073741824,309762011,7644284787,0,0,0,12500000,0.9068020649579862,3,1750576557,2025-06-22 14:15:57
7,2,0,203,laos-3,0.0422999923307368,1,0.86700439453125,1073741824,311185408,7619218947,0,0,0,12500000,0.9093043868619868,4,1750576557,2025-06-22 14:15:57
8,2,0,204,laos-4,0.0461454461789856,1,0.852874755859375,1073741824,310015963,7636008383,0,0,0,12500000,0.8990202020383606,2,1750576557,2025-06-22 14:15:57
9,3,0,201,laos-1,0.0442227192548612,1,0.850830078125,1073741824,330645250,7700623912,0,0,0,12500000,0.8950527973798612,1,1750576558,2025-06-22 14:15:58
10,3,0,202,laos-2,0.0442227192548612,1,0.862579345703125,1073741824,309762011,7644284787,0,0,0,12500000,0.9068020649579862,3,1750576558,2025-06-22 14:15:58
11,3,0,203,laos-3,0.0422999923307368,1,0.86700439453125,1073741824,311185408,7619218947,0,0,0,12500000,0.9093043868619868,4,1750576558,2025-06-22 14:15:58
12,3,0,204,laos-4,0.0461454461789856,1,0.852874755859375,1073741824,310015963,7636008383,0,0,0,12500000,0.8990202020383606,2,1750576558,2025-06-22 14:15:58
13,4,0,204,laos-4,0.0461454461789856,1,0.852874755859375,1073741824,310015963,7636008383,0,0,0,12500000,0.8990202020383606,2,1750576559,2025-06-22 14:15:59
14,4,0,201,laos-1,0.0442227192548612,1,0.850830078125,1073741824,330645250,7700623912,0,0,0,12500000,0.8950527973798612,1,1750576559,2025-06-22 14:15:59
15,4,0,202,laos-2,0.0442227192548612,1,0.862579345703125,1073741824,309762011,7644284787,0,0,0,12500000,0.9068020649579862,3,1750576559,2025-06-22 14:15:59
16,4,0,203,laos-3,0.0422999923307368,1,0.86700439453125,1073741824,311185408,7619218947,0,0,0,12500000,0.9093043868619868,4,1750576559,2025-06-22 14:15:59
17,5,0,201,laos-1,0.0442227192548612,1,0.850830078125,1073741824,330645250,7700623912,0,0,0,12500000,0.8950527973798612,1,1750576560,2025-06-22 14:16:00
18,5,0,202,laos-2,0.0442227192548612,1,0.862579345703125,1073741824,309762011,7644284787,0,0,0,12500000,0.9068020649579862,3,1750576560,2025-06-22 14:16:00
19,5,0,203,laos-3,0.0422999923307368,1,0.86700439453125,1073741824,311185408,7619218947,0,0,0,12500000,0.9093043868619868,4,1750576560,2025-06-22 14:16:00
